filename,local_time
KDAX20200101_150912_V06,20200101_070912
KDAX20200101_151849_V06,20200101_071849
KDAX20200101_153026_V06,20200101_073026
KDAX20200101_154002_V06,20200101_074002
KDAX20200101_154939_V06,20200101_074939
KDAX20200101_160852_V06,20200101_080852
KDAX20200101_161828_V06,20200101_081828
KDAX20200101_162805_V06,20200101_082805
KDAX20200101_163741_V06,20200101_083741
KDAX20200101_164718_V06,20200101_084718
KDAX20200102_145436_V06,20200102_065436
KDAX20200102_150354_V06,20200102_070354
KDAX20200102_150833_V06,20200102_070833
KDAX20200102_151312_V06,20200102_071312
KDAX20200102_151750_V06,20200102_071750
KDAX20200102_152230_V06,20200102_072230
KDAX20200102_152709_V06,20200102_072709
KDAX20200102_153354_V06,20200102_073354
KDAX20200102_153834_V06,20200102_073834
KDAX20200102_154313_V06,20200102_074313
KDAX20200102_154752_V06,20200102_074752
KDAX20200102_155231_V06,20200102_075231
KDAX20200102_160148_V06,20200102_080148
KDAX20200102_160627_V06,20200102_080627
KDAX20200102_161106_V06,20200102_081106
KDAX20200102_161545_V06,20200102_081545
KDAX20200102_162024_V06,20200102_082024
KDAX20200102_162504_V06,20200102_082504
KDAX20200102_162943_V06,20200102_082943
KDAX20200102_163422_V06,20200102_083422
KDAX20200102_163900_V06,20200102_083900
KDAX20200102_164339_V06,20200102_084339
KDAX20200102_164817_V06,20200102_084817
KDAX20200102_165256_V06,20200102_085256
KDAX20200103_150005_V06,20200103_070005
KDAX20200103_150709_V06,20200103_070709
KDAX20200103_151412_V06,20200103_071412
KDAX20200103_152116_V06,20200103_072116
KDAX20200103_152819_V06,20200103_072819
KDAX20200103_153523_V06,20200103_073523
KDAX20200103_154424_V06,20200103_074424
KDAX20200103_155129_V06,20200103_075129
KDAX20200103_160538_V06,20200103_080538
KDAX20200103_161241_V06,20200103_081241
KDAX20200103_161945_V06,20200103_081945
KDAX20200103_162649_V06,20200103_082649
KDAX20200103_163353_V06,20200103_083353
KDAX20200103_164057_V06,20200103_084057
KDAX20200103_164800_V06,20200103_084800
KDAX20200104_150318_V06,20200104_070318
KDAX20200104_151021_V06,20200104_071021
KDAX20200104_151449_V06,20200104_071449
KDAX20200104_151928_V06,20200104_071928
KDAX20200104_152407_V06,20200104_072407
KDAX20200104_152847_V06,20200104_072847
KDAX20200104_153326_V06,20200104_073326
KDAX20200104_153805_V06,20200104_073805
KDAX20200104_154245_V06,20200104_074245
KDAX20200104_154927_V06,20200104_074927
KDAX20200104_155406_V06,20200104_075406
KDAX20200104_160324_V06,20200104_080324
KDAX20200104_160803_V06,20200104_080803
KDAX20200104_161242_V06,20200104_081242
KDAX20200104_161721_V06,20200104_081721
KDAX20200104_162200_V06,20200104_082200
KDAX20200104_162638_V06,20200104_082638
KDAX20200104_163118_V06,20200104_083118
KDAX20200104_163556_V06,20200104_083556
KDAX20200104_164035_V06,20200104_084035
KDAX20200104_164514_V06,20200104_084514
KDAX20200104_164953_V06,20200104_084953
KDAX20200105_150059_V06,20200105_070059
KDAX20200105_150538_V06,20200105_070538
KDAX20200105_151019_V06,20200105_071019
KDAX20200105_151458_V06,20200105_071458
KDAX20200105_151936_V06,20200105_071936
KDAX20200105_152415_V06,20200105_072415
KDAX20200105_152853_V06,20200105_072853
KDAX20200105_153333_V06,20200105_073333
KDAX20200105_153811_V06,20200105_073811
KDAX20200105_154250_V06,20200105_074250
KDAX20200105_154729_V06,20200105_074729
KDAX20200105_155208_V06,20200105_075208
KDAX20200105_160333_V06,20200105_080333
KDAX20200105_160812_V06,20200105_080812
KDAX20200105_161251_V06,20200105_081251
KDAX20200105_161730_V06,20200105_081730
KDAX20200105_162209_V06,20200105_082209
KDAX20200105_162647_V06,20200105_082647
KDAX20200105_163126_V06,20200105_083126
KDAX20200105_163605_V06,20200105_083605
KDAX20200105_164044_V06,20200105_084044
KDAX20200105_164523_V06,20200105_084523
KDAX20200105_165002_V06,20200105_085002
KDAX20200106_150638_V06,20200106_070638
KDAX20200106_151615_V06,20200106_071615
KDAX20200106_152551_V06,20200106_072551
KDAX20200106_153528_V06,20200106_073528
KDAX20200106_154504_V06,20200106_074504
KDAX20200106_160617_V06,20200106_080617
KDAX20200106_161554_V06,20200106_081554
KDAX20200106_162530_V06,20200106_082530
KDAX20200106_163507_V06,20200106_083507
KDAX20200106_164444_V06,20200106_084444
KDAX20200107_150508_V06,20200107_070508
KDAX20200107_151445_V06,20200107_071445
KDAX20200107_152422_V06,20200107_072422
KDAX20200107_153359_V06,20200107_073359
KDAX20200107_154336_V06,20200107_074336
KDAX20200107_160249_V06,20200107_080249
KDAX20200107_161429_V06,20200107_081429
KDAX20200107_162406_V06,20200107_082406
KDAX20200107_163343_V06,20200107_083343
KDAX20200107_164320_V06,20200107_084320
KDAX20200108_150425_V06,20200108_070425
KDAX20200108_151402_V06,20200108_071402
KDAX20200108_152338_V06,20200108_072338
KDAX20200108_153314_V06,20200108_073314
KDAX20200108_154250_V06,20200108_074250
KDAX20200108_160203_V06,20200108_080203
KDAX20200108_161139_V06,20200108_081139
KDAX20200108_162116_V06,20200108_082116
KDAX20200108_163052_V06,20200108_083052
KDAX20200108_164029_V06,20200108_084029
KDAX20200108_165006_V06,20200108_085006
KDAX20200109_150235_V06,20200109_070235
KDAX20200109_151212_V06,20200109_071212
KDAX20200109_151556_V06,20200109_071556
KDAX20200109_151924_V06,20200109_071924
KDAX20200109_152253_V06,20200109_072253
KDAX20200109_152623_V06,20200109_072623
KDAX20200109_152939_V06,20200109_072939
KDAX20200109_153255_V06,20200109_073255
KDAX20200109_153611_V06,20200109_073611
KDAX20200109_153914_V06,20200109_073914
