filename,local_time
KLIX20220101_122858_V06,20220101_062858
KLIX20220101_123721_V06,20220101_063721
KLIX20220101_124545_V06,20220101_064545
KLIX20220101_130311_V06,20220101_070311
KLIX20220101_131154_V06,20220101_071154
KLIX20220101_132037_V06,20220101_072037
KLIX20220101_132920_V06,20220101_072920
KLIX20220101_133804_V06,20220101_073804
KLIX20220101_134648_V06,20220101_074648
KLIX20220101_140415_V06,20220101_080415
KLIX20220101_141251_V06,20220101_081251
KLIX20220101_142127_V06,20220101_082127
KLIX20220102_122920_V06,20220102_062920
KLIX20220102_123418_V06,20220102_063418
KLIX20220102_123922_V06,20220102_063922
KLIX20220102_124420_V06,20220102_064420
KLIX20220102_124924_V06,20220102_064924
KLIX20220102_125422_V06,20220102_065422
KLIX20220102_130447_V06,20220102_070447
KLIX20220102_131013_V06,20220102_071013
KLIX20220102_131531_V06,20220102_071531
KLIX20220102_132041_V06,20220102_072041
KLIX20220102_132559_V06,20220102_072559
KLIX20220102_133117_V06,20220102_073117
KLIX20220102_133637_V06,20220102_073637
KLIX20220102_134154_V06,20220102_074154
KLIX20220102_134713_V06,20220102_074713
KLIX20220102_135231_V06,20220102_075231
KLIX20220102_140247_V06,20220102_080247
KLIX20220102_140747_V06,20220102_080747
KLIX20220102_141246_V06,20220102_081246
KLIX20220102_141745_V06,20220102_081745
KLIX20220102_142243_V06,20220102_082243
KLIX20220103_122624_V06,20220103_062624
KLIX20220103_123454_V06,20220103_063454
KLIX20220103_124315_V06,20220103_064315
KLIX20220103_130024_V06,20220103_070024
KLIX20220103_130848_V06,20220103_070848
KLIX20220103_131720_V06,20220103_071720
KLIX20220103_132557_V06,20220103_072557
KLIX20220103_133418_V06,20220103_073418
KLIX20220103_134249_V06,20220103_074249
KLIX20220103_135110_V06,20220103_075110
KLIX20220103_140756_V06,20220103_080756
KLIX20220103_141627_V06,20220103_081627
KLIX20220103_142459_V06,20220103_082459
KLIX20220104_123154_V06,20220104_063154
KLIX20220104_124031_V06,20220104_064031
KLIX20220104_124916_V06,20220104_064916
KLIX20220104_130621_V06,20220104_070621
KLIX20220104_131448_V06,20220104_071448
KLIX20220104_132319_V06,20220104_072319
KLIX20220104_133157_V06,20220104_073157
KLIX20220104_134034_V06,20220104_074034
KLIX20220104_134905_V06,20220104_074905
KLIX20220104_140624_V06,20220104_080624
KLIX20220104_141454_V06,20220104_081454
KLIX20220104_142341_V06,20220104_082341
KLIX20220105_122801_V06,20220105_062801
KLIX20220105_123647_V06,20220105_063647
KLIX20220105_124532_V06,20220105_064532
KLIX20220105_130303_V06,20220105_070303
KLIX20220105_131149_V06,20220105_071149
KLIX20220105_132034_V06,20220105_072034
KLIX20220105_132919_V06,20220105_072919
KLIX20220105_133804_V06,20220105_073804
KLIX20220105_134650_V06,20220105_074650
KLIX20220105_140420_V06,20220105_080420
KLIX20220105_141306_V06,20220105_081306
KLIX20220105_142151_V06,20220105_082151
KLIX20220106_122728_V06,20220106_062728
KLIX20220106_123243_V06,20220106_063243
KLIX20220106_123758_V06,20220106_063758
KLIX20220106_124319_V06,20220106_064319
KLIX20220106_124828_V06,20220106_064828
KLIX20220106_125338_V06,20220106_065338
KLIX20220106_130355_V06,20220106_070355
KLIX20220106_130916_V06,20220106_070916
KLIX20220106_131436_V06,20220106_071436
KLIX20220106_131957_V06,20220106_071957
KLIX20220106_132518_V06,20220106_072518
KLIX20220106_133039_V06,20220106_073039
KLIX20220106_133549_V06,20220106_073549
KLIX20220106_134058_V06,20220106_074058
KLIX20220106_134607_V06,20220106_074607
KLIX20220106_135117_V06,20220106_075117
KLIX20220106_140136_V06,20220106_080136
KLIX20220106_140645_V06,20220106_080645
KLIX20220106_141153_V06,20220106_081153
KLIX20220106_141708_V06,20220106_081708
KLIX20220106_142223_V06,20220106_082223
KLIX20220107_122927_V06,20220107_062927
KLIX20220107_123747_V06,20220107_063747
KLIX20220107_124612_V06,20220107_064612
KLIX20220107_130257_V06,20220107_070257
KLIX20220107_131123_V06,20220107_071123
KLIX20220107_131948_V06,20220107_071948
KLIX20220107_132813_V06,20220107_072813
KLIX20220107_133659_V06,20220107_073659
KLIX20220107_134524_V06,20220107_074524
KLIX20220107_140214_V06,20220107_080214
KLIX20220107_141039_V06,20220107_081039
KLIX20220107_141926_V06,20220107_081926
KLIX20220108_122724_V06,20220108_062724
KLIX20220108_123609_V06,20220108_063609
KLIX20220108_124454_V06,20220108_064454
KLIX20220108_130223_V06,20220108_070223
KLIX20220108_131109_V06,20220108_071109
KLIX20220108_131955_V06,20220108_071955
KLIX20220108_132839_V06,20220108_072839
KLIX20220108_133725_V06,20220108_073725
KLIX20220108_134611_V06,20220108_074611
KLIX20220108_140341_V06,20220108_080341
KLIX20220108_141227_V06,20220108_081227
KLIX20220108_142113_V06,20220108_082113
KLIX20220109_122943_V06,20220109_062943
KLIX20220109_123534_V06,20220109_063534
KLIX20220109_124109_V06,20220109_064109
KLIX20220109_124644_V06,20220109_064644
KLIX20220109_125236_V06,20220109_065236
KLIX20220109_130500_V06,20220109_070500
KLIX20220109_131121_V06,20220109_071121
KLIX20220109_131742_V06,20220109_071742
KLIX20220109_132350_V06,20220109_072350
KLIX20220109_132921_V06,20220109_072921
KLIX20220109_133458_V06,20220109_073458
KLIX20220109_134054_V06,20220109_074054
KLIX20220109_134607_V06,20220109_074607
KLIX20220109_135121_V06,20220109_075121
KLIX20220109_140211_V06,20220109_080211
KLIX20220109_140705_V06,20220109_080705
KLIX20220109_141223_V06,20220109_081223
KLIX20220109_141741_V06,20220109_081741
KLIX20220109_142258_V06,20220109_082258
KLIX20220110_122901_V06,20220110_062901
KLIX20220110_123352_V06,20220110_063352
KLIX20220110_123845_V06,20220110_063845
KLIX20220110_124337_V06,20220110_064337
KLIX20220110_124829_V06,20220110_064829
KLIX20220110_125332_V06,20220110_065332
KLIX20220110_130315_V06,20220110_070315
KLIX20220110_130818_V06,20220110_070818
KLIX20220110_131310_V06,20220110_071310
KLIX20220110_131814_V06,20220110_071814
KLIX20220110_132318_V06,20220110_072318
KLIX20220110_132822_V06,20220110_072822
KLIX20220110_133325_V06,20220110_073325
KLIX20220110_133828_V06,20220110_073828
KLIX20220110_134331_V06,20220110_074331
KLIX20220110_134834_V06,20220110_074834
KLIX20220110_135338_V06,20220110_075338
KLIX20220110_140345_V06,20220110_080345
KLIX20220110_140849_V06,20220110_080849
KLIX20220110_141352_V06,20220110_081352
KLIX20220110_141855_V06,20220110_081855
KLIX20220110_142359_V06,20220110_082359
KLIX20220111_123516_V06,20220111_063516
KLIX20220111_124401_V06,20220111_064401
KLIX20220111_130131_V06,20220111_070131
KLIX20220111_131016_V06,20220111_071016
KLIX20220111_131901_V06,20220111_071901
KLIX20220111_132747_V06,20220111_072747
KLIX20220111_133632_V06,20220111_073632
KLIX20220111_134517_V06,20220111_074517
KLIX20220111_140248_V06,20220111_080248
KLIX20220111_141131_V06,20220111_081131
KLIX20220111_142009_V06,20220111_082009
KLIX20220112_123026_V06,20220112_063026
KLIX20220112_123553_V06,20220112_063553
KLIX20220112_124130_V06,20220112_064130
KLIX20220112_124651_V06,20220112_064651
KLIX20220112_125217_V06,20220112_065217
KLIX20220112_130330_V06,20220112_070330
KLIX20220112_130906_V06,20220112_070906
KLIX20220112_131442_V06,20220112_071442
KLIX20220112_132019_V06,20220112_072019
KLIX20220112_132555_V06,20220112_072555
KLIX20220112_133132_V06,20220112_073132
KLIX20220112_133659_V06,20220112_073659
KLIX20220112_134236_V06,20220112_074236
KLIX20220112_134812_V06,20220112_074812
KLIX20220112_135340_V06,20220112_075340
KLIX20220112_140452_V06,20220112_080452
KLIX20220112_141029_V06,20220112_081029
KLIX20220112_141606_V06,20220112_081606
KLIX20220112_142132_V06,20220112_082132
KLIX20220113_123358_V06,20220113_063358
KLIX20220113_124244_V06,20220113_064244
KLIX20220113_125128_V06,20220113_065128
KLIX20220113_130228_V06,20220113_070228
KLIX20220113_130806_V06,20220113_070806
KLIX20220113_131344_V06,20220113_071344
KLIX20220113_132221_V06,20220113_072221
KLIX20220113_133107_V06,20220113_073107
KLIX20220113_133950_V06,20220113_073950
KLIX20220113_134835_V06,20220113_074835
KLIX20220113_140606_V06,20220113_080606
KLIX20220113_141451_V06,20220113_081451
KLIX20220113_142336_V06,20220113_082336
KLIX20220114_123135_V06,20220114_063135
KLIX20220114_123711_V06,20220114_063711
KLIX20220114_124248_V06,20220114_064248
KLIX20220114_124824_V06,20220114_064824
KLIX20220114_125401_V06,20220114_065401
KLIX20220114_130512_V06,20220114_070512
KLIX20220114_131049_V06,20220114_071049
KLIX20220114_131626_V06,20220114_071626
KLIX20220114_132202_V06,20220114_072202
KLIX20220114_132738_V06,20220114_072738
KLIX20220114_133316_V06,20220114_073316
KLIX20220114_134153_V06,20220114_074153
KLIX20220114_135038_V06,20220114_075038
KLIX20220114_140808_V06,20220114_080808
KLIX20220114_141653_V06,20220114_081653
KLIX20220114_142538_V06,20220114_082538
KLIX20220115_122648_V06,20220115_062648
KLIX20220115_123246_V06,20220115_063246
KLIX20220115_123829_V06,20220115_063829
KLIX20220115_124412_V06,20220115_064412
KLIX20220115_124939_V06,20220115_064939
KLIX20220115_130034_V06,20220115_070034
KLIX20220115_130601_V06,20220115_070601
KLIX20220115_131128_V06,20220115_071128
KLIX20220115_131655_V06,20220115_071655
KLIX20220115_132223_V06,20220115_072223
KLIX20220115_132751_V06,20220115_072751
KLIX20220115_133318_V06,20220115_073318
KLIX20220115_133846_V06,20220115_073846
KLIX20220115_134413_V06,20220115_074413
KLIX20220115_134941_V06,20220115_074941
KLIX20220115_140036_V06,20220115_080036
KLIX20220115_140602_V06,20220115_080602
KLIX20220115_141129_V06,20220115_081129
KLIX20220115_141656_V06,20220115_081656
KLIX20220115_142224_V06,20220115_082224
KLIX20220116_122629_V06,20220116_062629
KLIX20220116_123515_V06,20220116_063515
KLIX20220116_124401_V06,20220116_064401
KLIX20220116_130133_V06,20220116_070133
KLIX20220116_130952_V06,20220116_070952
KLIX20220116_131838_V06,20220116_071838
KLIX20220116_132657_V06,20220116_072657
KLIX20220116_133516_V06,20220116_073516
KLIX20220116_134336_V06,20220116_074336
KLIX20220116_135156_V06,20220116_075156
