filename,local_time
KTLX20200101_131149_V06,20200101_071149
KTLX20200101_132129_V06,20200101_072129
KTLX20200101_133110_V06,20200101_073110
KTLX20200101_134051_V06,20200101_074051
KTLX20200101_140013_V06,20200101_080013
KTLX20200101_140953_V06,20200101_080953
KTLX20200101_141934_V06,20200101_081934
KTLX20200101_142915_V06,20200101_082915
KTLX20200101_143856_V06,20200101_083856
KTLX20200101_144836_V06,20200101_084836
KTLX20200102_130859_V06,20200102_070859
KTLX20200102_131841_V06,20200102_071841
KTLX20200102_132823_V06,20200102_072823
KTLX20200102_133804_V06,20200102_073804
KTLX20200102_134744_V06,20200102_074744
KTLX20200102_140706_V06,20200102_080706
KTLX20200102_141647_V06,20200102_081647
KTLX20200102_142628_V06,20200102_082628
KTLX20200102_143608_V06,20200102_083608
KTLX20200102_144549_V06,20200102_084549
KTLX20200102_150512_V06,20200102_090512
KTLX20200103_131540_V06,20200103_071540
KTLX20200103_132521_V06,20200103_072521
KTLX20200103_133503_V06,20200103_073503
KTLX20200103_134445_V06,20200103_074445
KTLX20200103_140408_V06,20200103_080408
KTLX20200103_141349_V06,20200103_081349
KTLX20200103_142331_V06,20200103_082331
KTLX20200103_143313_V06,20200103_083313
KTLX20200103_144254_V06,20200103_084254
KTLX20200103_150216_V06,20200103_090216
KTLX20200104_131722_V06,20200104_071722
KTLX20200104_132703_V06,20200104_072703
KTLX20200104_133644_V06,20200104_073644
KTLX20200104_134625_V06,20200104_074625
KTLX20200104_140547_V06,20200104_080547
KTLX20200104_141529_V06,20200104_081529
KTLX20200104_142510_V06,20200104_082510
KTLX20200104_143451_V06,20200104_083451
KTLX20200104_144432_V06,20200104_084432
KTLX20200104_150355_V06,20200104_090355
KTLX20200105_131447_V06,20200105_071447
KTLX20200105_132429_V06,20200105_072429
KTLX20200105_133409_V06,20200105_073409
KTLX20200105_134350_V06,20200105_074350
KTLX20200105_140313_V06,20200105_080313
KTLX20200105_141254_V06,20200105_081254
KTLX20200105_142235_V06,20200105_082235
KTLX20200105_143216_V06,20200105_083216
KTLX20200105_144157_V06,20200105_084157
KTLX20200105_150119_V06,20200105_090119
KTLX20200106_131245_V06,20200106_071245
KTLX20200106_132226_V06,20200106_072226
KTLX20200106_133208_V06,20200106_073208
KTLX20200106_134150_V06,20200106_074150
KTLX20200106_140113_V06,20200106_080113
KTLX20200106_141055_V06,20200106_081055
KTLX20200106_142036_V06,20200106_082036
KTLX20200106_143018_V06,20200106_083018
KTLX20200106_143959_V06,20200106_083959
KTLX20200106_144940_V06,20200106_084940
KTLX20200107_130849_V06,20200107_070849
KTLX20200107_131829_V06,20200107_071829
KTLX20200107_132810_V06,20200107_072810
KTLX20200107_133750_V06,20200107_073750
KTLX20200107_134729_V06,20200107_074729
KTLX20200107_140648_V06,20200107_080648
KTLX20200107_141627_V06,20200107_081627
KTLX20200107_142606_V06,20200107_082606
KTLX20200107_143545_V06,20200107_083545
KTLX20200107_144525_V06,20200107_084525
KTLX20200107_150445_V06,20200107_090445
KTLX20200108_131419_V06,20200108_071419
KTLX20200108_132400_V06,20200108_072400
KTLX20200108_133340_V06,20200108_073340
KTLX20200108_134321_V06,20200108_074321
KTLX20200108_140244_V06,20200108_080244
KTLX20200108_141224_V06,20200108_081224
KTLX20200108_142205_V06,20200108_082205
KTLX20200108_143146_V06,20200108_083146
KTLX20200108_144128_V06,20200108_084128
KTLX20200108_150049_V06,20200108_090049
KTLX20200109_131310_V06,20200109_071310
KTLX20200109_132250_V06,20200109_072250
KTLX20200109_133231_V06,20200109_073231
KTLX20200109_134212_V06,20200109_074212
KTLX20200109_140134_V06,20200109_080134
KTLX20200109_141115_V06,20200109_081115
KTLX20200109_142055_V06,20200109_082055
KTLX20200109_143036_V06,20200109_083036
KTLX20200109_144017_V06,20200109_084017
KTLX20200109_144958_V06,20200109_084958
KTLX20200110_131034_V06,20200110_071034
KTLX20200110_131456_V06,20200110_071456
KTLX20200110_131919_V06,20200110_071919
KTLX20200110_132311_V06,20200110_072311
KTLX20200110_132716_V06,20200110_072716
KTLX20200110_133107_V06,20200110_073107
KTLX20200110_133512_V06,20200110_073512
KTLX20200110_133930_V06,20200110_073930
KTLX20200110_134336_V06,20200110_074336
KTLX20200110_134754_V06,20200110_074754
KTLX20200110_135225_V06,20200110_075225
KTLX20200110_140208_V06,20200110_080208
KTLX20200110_140653_V06,20200110_080653
KTLX20200110_141151_V06,20200110_081151
KTLX20200110_141650_V06,20200110_081650
KTLX20200110_142149_V06,20200110_082149
KTLX20200110_142648_V06,20200110_082648
KTLX20200110_143147_V06,20200110_083147
KTLX20200110_143645_V06,20200110_083645
KTLX20200110_144144_V06,20200110_084144
KTLX20200110_144650_V06,20200110_084650
KTLX20200110_145149_V06,20200110_085149
KTLX20200110_150146_V06,20200110_090146
KTLX20200110_150644_V06,20200110_090644
KTLX20200111_131447_V06,20200111_071447
KTLX20200111_132152_V06,20200111_072152
KTLX20200111_132858_V06,20200111_072858
KTLX20200111_133603_V06,20200111_073603
KTLX20200111_134309_V06,20200111_074309
KTLX20200111_135015_V06,20200111_075015
KTLX20200111_140424_V06,20200111_080424
KTLX20200111_141130_V06,20200111_081130
KTLX20200111_141835_V06,20200111_081835
KTLX20200111_142540_V06,20200111_082540
KTLX20200111_143245_V06,20200111_083245
KTLX20200111_143950_V06,20200111_083950
KTLX20200111_144655_V06,20200111_084655
KTLX20200111_150106_V06,20200111_090106
KTLX20200111_150811_V06,20200111_090811
KTLX20200112_131706_V06,20200112_071706
KTLX20200112_132646_V06,20200112_072646
KTLX20200112_133627_V06,20200112_073627
KTLX20200112_134609_V06,20200112_074609
