track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
1,KDAX20200102_153354_V06,0,0.483,1.200,383,1,4429.434
1,KDAX20200102_153354_V06,2,0.879,1.200,380,0,107.814
1,KDAX20200102_153354_V06,4,1.318,1.200,382,0,58.361
1,KDAX20200102_153354_V06,6,1.802,1.200,192,0,4.044
1,KDAX20200102_153834_V06,0,0.483,1.200,307,0,5227.375
1,KDAX20200102_153834_V06,2,0.879,1.200,304,0,232.455
1,KDAX20200102_153834_V06,4,1.318,1.200,300,0,51.350
1,KDAX20200102_153834_V06,6,1.802,1.200,155,0,0.049
1,KDAX20200103_150005_V06,0,0.483,1.200,1221,2,5346.112
1,KDAX20200103_150005_V06,2,0.879,1.200,1220,0,310.933
1,KDAX20200103_150005_V06,4,1.318,1.200,1222,0,7.081
1,KDAX20200103_150005_V06,6,1.802,1.200,616,0,3.232
1,KDAX20200103_150005_V06,7,2.417,1.200,614,0,1.456
1,KDAX20200103_150005_V06,8,3.120,1.200,610,0,0.651
1,KDAX20200103_150005_V06,9,3.999,1.200,612,0,0.324
1,KDAX20200103_150709_V06,0,0.483,1.200,3344,2,6489.159
1,KDAX20200103_150709_V06,2,0.879,1.200,3345,0,465.136
1,KDAX20200103_150709_V06,4,1.318,1.200,3350,0,19.548
1,KDAX20200103_150709_V06,6,1.802,1.200,1674,0,1.205
1,KDAX20200103_150709_V06,7,2.417,1.200,1675,0,0.591
1,KDAX20200103_150709_V06,8,3.120,1.200,1677,0,0.578
1,KDAX20200103_150709_V06,9,3.999,1.200,1678,0,0.705
1,KDAX20200103_151412_V06,0,0.483,1.200,3384,9,7889.254
1,KDAX20200103_151412_V06,2,0.879,1.200,3386,0,740.812
1,KDAX20200103_151412_V06,4,1.318,1.200,3391,0,14.878
1,KDAX20200103_151412_V06,6,1.802,1.200,1699,0,1.705
1,KDAX20200103_151412_V06,7,2.417,1.200,1696,0,1.417
1,KDAX20200103_151412_V06,8,3.120,1.200,1698,0,0.867
1,KDAX20200103_151412_V06,9,3.999,1.200,1695,0,0.503
2,KDAX20200103_153523_V06,0,0.483,1.200,272,0,1564.361
2,KDAX20200103_153523_V06,2,0.879,1.200,273,0,42.482
2,KDAX20200103_153523_V06,4,1.318,1.200,275,0,70.934
2,KDAX20200103_153523_V06,6,1.802,1.200,139,0,0.045
2,KDAX20200104_151449_V06,0,0.483,1.200,5010,116,68838.791
2,KDAX20200104_151449_V06,2,0.879,1.200,5014,2,8953.199
2,KDAX20200104_151449_V06,4,1.318,1.200,5016,0,98.108
2,KDAX20200104_151449_V06,6,1.802,1.200,2485,0,0.455
