track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
1,KLIX20220101_122858_V06,0,0.483,1.200,320,0,958.713
1,KLIX20220101_122858_V06,2,0.879,1.200,319,0,33.418
1,KLIX20220101_122858_V06,4,1.318,1.200,319,0,0.028
1,KLIX20220101_122858_V06,8,1.802,1.200,161,0,0.028
1,KLIX20220101_122858_V06,9,2.417,1.200,161,0,0.028
1,KLIX20220101_122858_V06,10,3.120,1.200,160,0,0.028
1,KLIX20220101_123721_V06,0,0.483,1.200,1298,0,1448.666
1,KLIX20220101_123721_V06,2,0.879,1.200,1299,0,28.005
1,KLIX20220101_123721_V06,4,1.318,1.200,1296,0,0.114
1,KLIX20220101_123721_V06,8,1.802,1.200,653,0,0.115
1,KLIX20220101_123721_V06,9,2.417,1.200,652,0,0.115
1,KLIX20220101_123721_V06,10,3.120,1.200,653,0,0.115
3,KLIX20220101_130311_V06,0,0.483,1.200,2120,17,1592.418
3,KLIX20220101_130311_V06,2,0.879,1.200,2122,0,74.269
3,KLIX20220101_130311_V06,4,1.318,1.200,2121,0,1.126
3,KLIX20220101_130311_V06,8,1.802,1.200,1062,0,1.053
3,KLIX20220101_130311_V06,9,2.417,1.200,1060,0,0.989
3,KLIX20220101_130311_V06,10,3.120,1.200,1061,0,0.347
3,KLIX20220101_130311_V06,11,3.999,1.200,1060,0,0.073
3,KLIX20220101_130311_V06,12,5.098,1.200,1058,0,0.028
3,KLIX20220101_130311_V06,13,6.416,1.200,1064,0,0.018
3,KLIX20220102_123418_V06,0,0.483,1.200,587,0,978.630
3,KLIX20220102_123418_V06,2,0.879,1.200,581,0,611.691
3,KLIX20220102_123418_V06,4,1.318,1.200,583,0,146.722
3,KLIX20220102_123418_V06,6,1.802,1.200,292,0,13.258
3,KLIX20220102_123418_V06,7,2.417,1.200,295,0,0.069
1,KLIX20220103_123454_V06,0,0.483,1.200,395,0,78.517
1,KLIX20220103_123454_V06,2,0.879,1.200,395,0,16.013
1,KLIX20220103_123454_V06,4,1.318,1.200,395,0,0.022
1,KLIX20220103_123454_V06,8,1.802,1.200,196,0,0.007
1,KLIX20220103_123454_V06,9,2.417,1.200,197,0,0.007
1,KLIX20220103_123454_V06,10,3.120,1.200,199,0,0.007
1,KLIX20220103_123454_V06,11,3.999,1.200,200,0,0.007
1,KLIX20220103_123454_V06,12,5.098,1.200,197,0,0.007
1,KLIX20220103_123454_V06,13,6.416,1.200,197,0,0.007
2,KLIX20220103_130024_V06,0,0.483,1.200,1024,0,2152.804
2,KLIX20220103_130024_V06,2,0.879,1.200,1023,0,29.022
2,KLIX20220103_130024_V06,4,1.318,1.200,1024,0,0.033
2,KLIX20220103_130024_V06,8,1.802,1.200,512,0,0.087
2,KLIX20220103_130024_V06,9,2.417,1.200,510,0,0.033
2,KLIX20220103_130024_V06,10,3.120,1.200,512,0,0.033
2,KLIX20220103_130024_V06,11,3.999,1.200,515,0,0.034
2,KLIX20220103_130024_V06,12,5.098,1.200,518,0,0.034
3,KLIX20220103_130024_V06,0,0.483,1.200,1807,0,1522.214
3,KLIX20220103_130024_V06,2,0.879,1.200,1806,0,13.078
3,KLIX20220103_130024_V06,4,1.318,1.200,1807,0,0.042
3,KLIX20220103_130024_V06,8,1.802,1.200,905,0,0.033
3,KLIX20220103_130024_V06,9,2.417,1.200,906,0,0.033
3,KLIX20220103_130024_V06,10,3.120,1.200,905,0,0.033
3,KLIX20220103_130024_V06,11,3.999,1.200,906,0,0.033
3,KLIX20220103_130024_V06,12,5.098,1.200,908,0,0.033
3,KLIX20220103_130024_V06,13,6.416,1.200,915,0,0.033
5,KLIX20220104_130621_V06,0,0.483,1.200,1242,0,483.067
5,KLIX20220104_130621_V06,2,0.879,1.200,1240,0,2.396
5,KLIX20220104_130621_V06,4,1.318,1.200,1241,0,0.051
5,KLIX20220104_130621_V06,8,1.802,1.200,623,0,0.051
5,KLIX20220104_130621_V06,9,2.417,1.200,623,0,0.051
5,KLIX20220104_130621_V06,10,3.120,1.200,623,0,0.051
5,KLIX20220104_130621_V06,11,3.999,1.200,626,0,0.051
5,KLIX20220104_131448_V06,0,0.483,1.200,5364,0,120.502
5,KLIX20220104_131448_V06,2,0.879,1.200,5364,0,1.073
5,KLIX20220104_131448_V06,4,1.318,1.200,5369,0,0.286
5,KLIX20220104_131448_V06,8,1.802,1.200,2687,0,0.210
5,KLIX20220104_131448_V06,9,2.417,1.200,2686,0,0.210
5,KLIX20220104_131448_V06,10,3.120,1.200,2689,0,0.211
5,KLIX20220104_131448_V06,11,3.999,1.200,2692,0,0.212
5,KLIX20220104_132319_V06,0,0.483,1.200,17125,0,51.118
5,KLIX20220104_132319_V06,2,0.879,1.200,17128,0,1.605
5,KLIX20220104_132319_V06,4,1.318,1.200,17128,0,0.887
5,KLIX20220104_132319_V06,8,1.802,1.200,8578,0,0.695
5,KLIX20220104_132319_V06,9,2.417,1.200,8588,0,1.372
5,KLIX20220104_132319_V06,10,3.120,1.200,8587,0,0.698
5,KLIX20220104_132319_V06,11,3.999,1.200,8598,0,0.700
3,KLIX20220104_124031_V06,0,0.483,1.200,3491,0,1685.643
3,KLIX20220104_124031_V06,2,0.879,1.200,3492,0,256.947
3,KLIX20220104_124916_V06,0,0.483,1.200,8893,0,1189.385
3,KLIX20220104_124916_V06,2,0.879,1.200,8899,0,66.840
3,KLIX20220104_124916_V06,4,1.318,1.200,8902,0,1642.592
4,KLIX20220104_130621_V06,0,0.483,1.200,4235,0,2491.307
4,KLIX20220104_130621_V06,2,0.879,1.200,4232,0,73.612
4,KLIX20220104_130621_V06,4,1.318,1.200,4234,0,0.462
4,KLIX20220104_130621_V06,8,1.802,1.200,2116,0,0.462
4,KLIX20220104_130621_V06,9,2.417,1.200,2117,0,1.694
4,KLIX20220105_130303_V06,0,0.483,1.200,902,1,4042.865
4,KLIX20220105_130303_V06,2,0.879,1.200,904,0,94.417
4,KLIX20220105_130303_V06,4,1.318,1.200,905,0,0.123
4,KLIX20220105_130303_V06,8,1.802,1.200,455,0,0.067
4,KLIX20220105_130303_V06,9,2.417,1.200,453,0,0.067
4,KLIX20220105_130303_V06,10,3.120,1.200,452,0,0.067
4,KLIX20220105_131149_V06,0,0.483,1.200,2837,2,5006.394
4,KLIX20220105_131149_V06,2,0.879,1.200,2836,0,129.808
4,KLIX20220105_131149_V06,4,1.318,1.200,2838,0,0.971
4,KLIX20220105_131149_V06,8,1.802,1.200,1419,0,0.498
4,KLIX20220105_131149_V06,9,2.417,1.200,1422,0,0.486
4,KLIX20220105_131149_V06,10,3.120,1.200,1420,0,0.212
4,KLIX20220105_132034_V06,0,0.483,1.200,6793,1,3650.949
4,KLIX20220105_132034_V06,2,0.879,1.200,6796,0,171.981
4,KLIX20220105_132034_V06,4,1.318,1.200,6793,0,8.346
4,KLIX20220105_132034_V06,8,1.802,1.200,3404,0,0.933
4,KLIX20220105_132034_V06,9,2.417,1.200,3406,0,1.640
4,KLIX20220105_132034_V06,10,3.120,1.200,3405,0,0.913
7,KLIX20220105_131149_V06,0,0.483,1.200,1175,22,4152.971
7,KLIX20220105_131149_V06,2,0.879,1.200,1174,0,246.974
7,KLIX20220105_131149_V06,4,1.318,1.200,1174,0,0.658
7,KLIX20220105_131149_V06,8,1.802,1.200,585,0,0.470
