track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
1,KTLX20220103_132625_V06,0,0.483,1.200,6843,484,5739.531
1,KTLX20220103_132625_V06,2,1.494,1.200,6846,0,17.931
1,KTLX20220103_132625_V06,4,2.505,1.200,3424,0,0.211
1,KTLX20220103_132625_V06,5,3.516,1.200,3426,0,0.156
1,KTLX20220103_132625_V06,6,4.482,1.200,3433,0,0.208
1,KTLX20220103_133603_V06,0,0.483,1.200,22099,96,6460.402
1,KTLX20220103_133603_V06,2,1.494,1.200,22108,0,3.418
1,KTLX20220103_133603_V06,4,2.505,1.200,11056,0,0.537
1,KTLX20220103_133603_V06,5,3.516,1.200,11070,0,0.713
1,KTLX20220103_133603_V06,6,4.482,1.200,11090,0,0.456
1,KTLX20220104_132458_V06,0,0.483,1.200,10890,910,12459.043
1,KTLX20220104_132458_V06,2,1.494,1.200,10899,10,413.314
1,KTLX20220104_132458_V06,4,2.505,1.200,5452,0,0.221
1,KTLX20220104_132458_V06,5,3.516,1.200,5461,0,0.227
1,KTLX20220104_132458_V06,6,4.482,1.200,5471,0,0.235
1,KTLX20220104_133435_V06,0,0.483,1.200,32211,21,3884.624
1,KTLX20220104_133435_V06,2,1.494,1.200,32221,0,12.982
1,KTLX20220104_133435_V06,4,2.505,1.200,16129,0,0.759
1,KTLX20220104_133435_V06,5,3.516,1.200,16144,0,0.458
1,KTLX20220104_133435_V06,6,4.482,1.200,16157,0,0.431
1,KTLX20220105_133110_V06,0,0.483,1.200,6353,2,1197.589
1,KTLX20220105_133110_V06,2,1.494,1.200,6358,0,0.877
1,KTLX20220105_133110_V06,4,2.505,1.200,3181,0,0.177
1,KTLX20220105_133110_V06,5,3.516,1.200,3187,0,0.105
1,KTLX20220105_133110_V06,6,4.482,1.200,3186,0,0.133
1,KTLX20220105_134047_V06,0,0.483,1.200,17859,31,1099.772
1,KTLX20220105_134047_V06,2,1.494,1.200,17861,0,3.259
1,KTLX20220105_134047_V06,4,2.505,1.200,8942,0,0.411
1,KTLX20220105_134047_V06,5,3.516,1.200,8954,0,0.375
1,KTLX20220105_134047_V06,6,4.482,1.200,8964,0,0.361
2,KTLX20220105_134047_V06,0,0.483,1.200,5404,0,90.774
2,KTLX20220105_134047_V06,2,1.494,1.200,5408,0,0.320
2,KTLX20220105_134047_V06,4,2.505,1.200,2706,0,0.051
2,KTLX20220105_134047_V06,5,3.516,1.200,2717,0,0.041
2,KTLX20220105_134047_V06,6,4.482,1.200,2715,0,0.044
1,KTLX20220107_133913_V06,0,0.483,1.200,21594,58,4140.295
1,KTLX20220107_133913_V06,2,1.494,1.200,21597,0,5.717
1,KTLX20220107_133913_V06,4,2.505,1.200,10811,0,0.463
1,KTLX20220107_133913_V06,5,3.516,1.200,10816,0,0.555
1,KTLX20220107_133913_V06,6,4.482,1.200,10825,0,0.374
1,KTLX20220107_134853_V06,0,0.483,1.200,61317,26,1657.047
1,KTLX20220107_134853_V06,2,1.494,1.200,61339,2,6.178
1,KTLX20220107_134853_V06,4,2.505,1.200,30679,0,0.792
1,KTLX20220107_134853_V06,5,3.516,1.200,30724,0,0.774
1,KTLX20220107_134853_V06,6,4.482,1.200,30766,0,0.744
1,KTLX20220110_131519_V06,0,0.483,1.200,75,1,269.245
1,KTLX20220110_131519_V06,2,1.494,1.200,74,0,0.108
1,KTLX20220110_131519_V06,4,2.505,1.200,37,0,0.007
1,KTLX20220110_132457_V06,0,0.483,1.200,927,1,755.093
1,KTLX20220110_132457_V06,2,1.494,1.200,929,0,2.078
1,KTLX20220110_132457_V06,4,2.505,1.200,463,0,0.082
4,KTLX20220110_133436_V06,0,0.483,1.200,18515,585,13560.868
4,KTLX20220110_133436_V06,2,1.494,1.200,18525,0,14.237
4,KTLX20220110_133436_V06,4,2.505,1.200,9258,0,0.546
4,KTLX20220110_133436_V06,5,3.516,1.200,9274,0,0.629
4,KTLX20220110_133436_V06,6,4.482,1.200,9290,0,0.408
4,KTLX20220110_134415_V06,0,0.483,1.200,41924,87,8923.336
4,KTLX20220110_134415_V06,2,1.494,1.200,41941,0,11.209
4,KTLX20220110_134415_V06,4,2.505,1.200,20995,0,0.872
4,KTLX20220110_134415_V06,5,3.516,1.200,21013,0,0.844
4,KTLX20220110_134415_V06,6,4.482,1.200,21033,0,0.972
2,KTLX20220110_132457_V06,0,0.483,1.200,278,2,2177.168
2,KTLX20220110_132457_V06,2,1.494,1.200,278,0,1.379
2,KTLX20220110_132457_V06,4,2.505,1.200,146,0,0.037
3,KTLX20220111_132341_V06,0,0.483,1.200,16522,1217,10071.525
3,KTLX20220111_132341_V06,2,1.494,1.200,16531,0,69.064
3,KTLX20220111_132341_V06,4,2.505,1.200,8265,0,0.319
3,KTLX20220111_132341_V06,5,3.516,1.200,8280,0,0.415
3,KTLX20220111_132341_V06,6,4.482,1.200,8290,0,0.353
3,KTLX20220111_133321_V06,0,0.483,1.200,34334,82,8739.288
3,KTLX20220111_133321_V06,2,1.494,1.200,34348,0,11.413
3,KTLX20220111_133321_V06,4,2.505,1.200,17189,0,0.987
3,KTLX20220111_133321_V06,5,3.516,1.200,17206,0,1.100
3,KTLX20220111_133321_V06,6,4.482,1.200,17222,0,0.597
4,KTLX20220111_141152_V06,0,0.483,1.200,541,54,3870.361
4,KTLX20220111_141152_V06,2,1.494,1.200,542,0,180.697
4,KTLX20220111_141152_V06,4,2.505,1.200,274,0,5.554
3,KTLX20220112_132046_V06,0,0.483,1.200,4438,504,3770.667
3,KTLX20220112_132046_V06,2,1.494,1.200,4443,0,44.783
3,KTLX20220112_132046_V06,4,2.505,1.200,2226,0,0.105
3,KTLX20220112_132046_V06,5,3.516,1.200,2232,0,0.163
3,KTLX20220112_132046_V06,6,4.482,1.200,2233,0,0.128
3,KTLX20220112_133023_V06,0,0.483,1.200,18834,389,9262.817
3,KTLX20220112_133023_V06,2,1.494,1.200,18842,0,9.407
3,KTLX20220112_133023_V06,4,2.505,1.200,9429,0,0.384
3,KTLX20220112_133023_V06,5,3.516,1.200,9440,0,0.406
3,KTLX20220112_133023_V06,6,4.482,1.200,9454,0,0.353
3,KTLX20220112_134000_V06,0,0.483,1.200,33061,53,4175.967
3,KTLX20220112_134000_V06,2,1.494,1.200,33079,0,5.198
3,KTLX20220112_134000_V06,4,2.505,1.200,16556,0,0.619
3,KTLX20220112_134000_V06,5,3.516,1.200,16563,0,0.546
3,KTLX20220112_134000_V06,6,4.482,1.200,16577,0,0.551
1,KTLX20220112_131108_V06,0,0.483,1.200,99,0,352.308
1,KTLX20220112_131108_V06,2,1.494,1.200,98,0,0.003
1,KTLX20220112_131108_V06,4,2.505,1.200,48,0,0.003
1,KTLX20220112_131108_V06,5,3.516,1.200,49,0,0.003
1,KTLX20220112_131108_V06,6,4.482,1.200,48,0,0.003
1,KTLX20220113_131515_V06,0,0.483,1.200,1197,9,1986.263
1,KTLX20220113_131515_V06,2,1.494,1.200,1199,0,7.982
1,KTLX20220113_131515_V06,4,2.505,1.200,598,0,1.431
1,KTLX20220113_131515_V06,5,3.516,1.200,598,0,3.921
1,KTLX20220113_131515_V06,6,4.482,1.200,599,0,1.547
1,KTLX20220113_132451_V06,0,0.483,1.200,3857,34,3995.682
1,KTLX20220113_132451_V06,2,1.494,1.200,3854,0,57.859
1,KTLX20220113_132451_V06,4,2.505,1.200,1931,0,6.174
1,KTLX20220113_132451_V06,5,3.516,1.200,1933,0,3.583
