track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
1,KTYX20220102_124553_V06,0,0.483,1.200,16785,0,155028.796
1,KTYX20220102_124553_V06,2,0.879,1.200,16783,0,100654.361
1,KTYX20220102_124553_V06,4,1.318,1.200,16796,0,40991.450
1,KTYX20220102_125113_V06,0,0.483,1.200,21845,0,211842.638
1,KTYX20220102_125113_V06,2,0.879,1.200,21860,0,121569.689
1,KTYX20220102_125113_V06,4,1.318,1.200,21868,0,51125.672
4,KTYX20220102_134243_V06,0,0.483,1.200,9086,0,64852.076
4,KTYX20220102_134243_V06,2,0.879,1.200,9085,0,20563.252
4,KTYX20220102_134845_V06,0,0.483,1.200,10878,0,77296.335
4,KTYX20220102_134845_V06,2,0.879,1.200,10887,0,32933.611
3,KTYX20220102_133051_V06,0,0.483,1.200,6503,0,134484.435
3,KTYX20220102_133051_V06,2,0.879,1.200,6507,1,91801.717
3,KTYX20220102_133051_V06,4,1.318,1.200,6504,0,29064.800
12,KTYX20220107_134735_V06,0,0.483,1.200,5181,2,50339.103
12,KTYX20220107_134735_V06,2,0.879,1.200,5184,0,3158.280
12,KTYX20220107_134735_V06,4,1.318,1.200,5184,0,12.477
1,KTYX20220109_122156_V06,0,0.483,1.200,15039,2,30791.815
1,KTYX20220109_122156_V06,2,0.879,1.200,15049,0,3768.500
1,KTYX20220109_122156_V06,4,1.318,1.200,15056,0,77.687
1,KTYX20220109_122800_V06,0,0.483,1.200,19680,6,40328.805
1,KTYX20220109_122800_V06,2,0.879,1.200,19696,0,9521.108
1,KTYX20220109_122800_V06,4,1.318,1.200,19698,0,822.175
1,KTYX20220113_132333_V06,0,0.483,1.200,29322,0,50813.645
1,KTYX20220113_132333_V06,2,0.879,1.200,29323,0,15408.190
1,KTYX20220113_132333_V06,4,1.318,1.200,29328,0,2316.786
1,KTYX20220113_132807_V06,0,0.483,1.200,33870,0,60024.623
