track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KDAX20200102_153354_V06,9.607,0.225,356.913,83.295,8.059,-121.346,39.477,4029.503,112026.934,20200102_073354
1,KDAX20200102_153834_V06,14.274,0.129,355.184,83.399,7.169,-121.356,39.476,3584.633,111760.283,20200102_073834
1,KDAX20200103_150005_V06,-24.310,0.172,221.920,380.740,10.187,-122.122,38.137,5093.594,56159.265,20200103_070005
1,KDAX20200103_150709_V06,-17.243,0.290,221.011,381.258,16.906,-122.127,38.134,8453.145,56661.714,20200103_070709
1,KDAX20200103_151412_V06,-10.193,0.106,221.707,382.290,17.024,-122.123,38.130,8512.178,56792.232,20200103_071412
2,KDAX20200103_153523_V06,10.990,0.064,359.233,80.608,6.888,-121.332,39.489,3444.023,113623.928,20200103_073523
2,KDAX20200104_151449_V06,-9.642,0.525,273.194,132.020,25.349,-121.832,39.258,12674.721,85052.629,20200104_071449
2,KDAX20200104_151928_V06,-4.992,0.397,271.845,130.747,29.768,-121.840,39.263,14884.011,85789.544,20200104_071928
1,KDAX20200106_151615_V06,-8.233,0.057,372.693,120.056,2.463,-121.255,39.311,1231.739,97036.289,20200106_071615
2,KDAX20200106_153528_V06,10.984,0.219,357.010,82.771,6.580,-121.345,39.479,3290.215,112292.491,20200106_073528
1,KDAX20200107_151445_V06,-9.691,0.137,226.927,107.760,5.343,-122.101,39.366,2671.642,102829.635,20200107_071445
2,KDAX20200107_152422_V06,-0.075,0.118,277.120,137.925,32.239,-121.809,39.231,16119.297,81841.207,20200107_072422
3,KDAX20200107_154336_V06,19.159,0.079,351.235,81.499,6.148,-121.379,39.485,3073.780,112213.880,20200107_074336
2,KDAX20200108_152338_V06,-0.731,0.096,242.083,396.559,27.697,-122.007,38.066,13848.276,56298.287,20200108_072338
2,KDAX20200108_153314_V06,8.869,0.302,237.207,399.753,36.554,-122.034,38.051,18276.951,58935.656,20200108_073314
3,KDAX20200108_153314_V06,8.869,0.420,358.762,81.280,6.167,-121.335,39.486,3083.443,113238.257,20200108_073314
3,KDAX20200108_154250_V06,18.469,0.131,359.227,79.126,14.741,-121.332,39.495,7370.322,114338.571,20200108_074250
1,KDAX20200108_151402_V06,-10.331,0.054,382.451,255.037,6.788,-121.203,38.703,3393.871,46956.719,20200108_071402
5,KDAX20200108_154250_V06,18.469,0.165,386.616,270.343,14.782,-121.179,38.634,7390.953,45775.984,20200108_074250
6,KDAX20200108_162116_V06,56.902,0.061,194.558,365.199,2.194,-122.279,38.206,1096.889,61985.617,20200108_082116
1,KDAX20200110_150804_V06,-16.037,0.067,291.406,516.861,8.382,-121.725,37.524,4191.122,108515.841,20200110_070804
2,KDAX20200110_152719_V06,3.213,0.139,360.491,82.197,6.794,-121.325,39.482,3397.018,113023.563,20200110_072719
3,KDAX20200110_152719_V06,3.213,0.095,407.278,405.572,3.382,-121.066,38.024,1690.783,75255.967,20200110_072719
2,KDAX20200111_150444_V06,-19.188,0.144,297.369,210.488,16.392,-121.692,38.904,8195.969,44775.341,20200111_070444
3,KDAX20200111_150444_V06,-19.188,0.071,318.056,413.169,29.157,-121.574,37.991,14578.629,57300.203,20200111_070444
4,KDAX20200111_150444_V06,-19.188,0.065,66.930,401.833,79.004,-123.004,38.035,39501.816,127172.798,20200111_070444
1,KDAX20200112_155010_V06,26.464,0.066,327.809,407.867,18.817,-121.518,38.015,9408.577,55697.190,20200112_075010
1,KDAX20200113_160123_V06,37.933,0.059,334.840,398.130,27.484,-121.478,38.059,13742.235,52065.592,20200113_080123
1,KDAX20200113_160602_V06,42.583,0.058,331.221,398.857,32.983,-121.499,38.056,16491.319,51834.940,20200113_080602
2,KDAX20200113_163834_V06,75.116,0.079,324.859,404.363,26.120,-121.535,38.031,13060.041,53641.554,20200113_083834
1,KDAX20200114_151802_V06,-5.130,0.051,269.123,138.914,16.450,-121.855,39.227,8224.785,82009.151,20200114_071802
1,KDAX20200114_152241_V06,-0.480,0.637,268.746,137.482,21.252,-121.858,39.233,10625.921,82748.152,20200114_072241
1,KDAX20200114_152720_V06,4.170,-1.000,268.450,136.360,26.617,-121.859,39.238,13308.482,83326.652,20200114_072720
1,KDAX20200114_153159_V06,8.820,0.050,274.390,131.992,20.769,-121.825,39.258,10384.388,84974.527,20200114_073159
