track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
3,KLIX20200101_124149_V06,-14.074,0.599,25.170,438.820,26.103,-91.245,29.703,13051.479,153950.084,20200101_064149
3,KLIX20200101_125026_V06,-5.458,0.749,26.478,441.924,36.937,-91.238,29.689,18468.352,154075.246,20200101_065026
4,KLIX20200101_124149_V06,-14.074,0.128,281.586,412.113,6.103,-89.921,29.831,3051.531,56807.621,20200101_064149
4,KLIX20200101_125026_V06,-5.458,-1.000,281.586,412.113,19.804,-89.921,29.831,9901.781,56807.621,20200101_065026
4,KLIX20200101_130427_V06,8.559,0.145,279.905,410.392,19.551,-89.929,29.839,9775.456,56102.895,20200101_070427
9,KLIX20200101_134210_V06,46.276,0.057,397.582,517.938,31.345,-89.323,29.353,15672.674,119393.742,20200101_074210
9,KLIX20200101_135048_V06,54.909,0.197,397.368,519.208,42.195,-89.324,29.347,21097.622,119929.661,20200101_075048
1,KLIX20200101_123311_V06,-22.708,0.065,351.402,584.617,13.979,-89.561,29.053,6989.361,144610.820,20200101_063311
6,KLIX20200101_125026_V06,-5.458,0.076,78.997,328.382,10.009,-90.973,30.204,5004.493,111409.106,20200101_065026
7,KLIX20200101_130427_V06,8.559,0.079,198.570,284.495,20.387,-90.353,30.406,10193.506,51304.315,20200101_070427
8,KLIX20200101_132558_V06,30.076,0.071,379.327,526.952,34.388,-89.417,29.312,17194.220,120207.841,20200101_072558
10,KLIX20200101_140802_V06,72.142,0.128,18.015,264.097,23.537,-91.294,30.490,11768.513,142130.775,20200101_080802
2,KLIX20200102_124230_V06,-13.625,0.055,23.735,172.146,31.406,-91.270,30.905,15703.076,152207.844,20200102_064230
1,KLIX20200104_130518_V06,8.788,0.059,236.613,216.636,5.493,-90.156,30.712,2746.273,52363.028,20200104_070518
1,KLIX20200105_123544_V06,-20.931,0.083,280.099,413.551,5.063,-89.928,29.824,2531.607,57641.070,20200105_063544
1,KLIX20200105_124421_V06,-12.314,0.189,279.866,414.884,15.991,-89.929,29.818,7995.605,58317.624,20200105_064421
1,KLIX20200105_130135_V06,4.919,0.601,279.646,412.143,17.799,-89.931,29.831,8899.571,56987.455,20200105_070135
