track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KTLX20220103_132625_V06,-11.866,0.060,254.131,308.525,15.352,-97.530,35.294,7676.058,23326.991,20220103_072625
1,KTLX20220103_133603_V06,-2.233,0.428,255.033,308.011,26.633,-97.525,35.297,13316.426,22837.518,20220103_073603
1,KTLX20220104_132458_V06,-13.416,0.552,250.320,298.620,19.906,-97.551,35.339,9953.083,24849.663,20220104_072458
1,KTLX20220104_133435_V06,-3.799,0.221,254.777,298.557,31.626,-97.526,35.339,15812.898,22622.805,20220104_073435
1,KTLX20220105_133110_V06,-7.284,0.143,253.961,329.894,16.070,-97.530,35.198,8035.120,27446.433,20220105_073110
1,KTLX20220105_134047_V06,2.333,0.087,252.950,324.716,25.845,-97.536,35.221,12922.601,26573.684,20220105_074047
2,KTLX20220105_134047_V06,2.333,0.422,294.840,255.041,13.486,-97.306,35.536,6743.034,22627.137,20220105_074047
1,KTLX20220107_133913_V06,0.727,0.795,250.333,311.341,27.882,-97.550,35.282,13941.048,25472.670,20220107_073913
1,KTLX20220107_134853_V06,10.394,0.098,256.383,310.473,42.786,-97.517,35.286,21392.858,22428.549,20220107_074853
1,KTLX20220110_131519_V06,-22.986,0.084,176.740,413.739,3.046,-97.951,34.819,1522.991,83859.422,20220110_071519
1,KTLX20220110_132457_V06,-13.353,0.178,176.963,413.782,10.860,-97.950,34.818,5429.899,83792.130,20220110_072457
4,KTLX20220110_133436_V06,-3.703,0.120,253.810,306.873,24.822,-97.531,35.302,12410.810,23349.395,20220110_073436
4,KTLX20220110_134415_V06,5.947,0.232,257.420,308.637,34.718,-97.512,35.294,17359.125,21723.467,20220110_074415
2,KTLX20220110_132457_V06,-13.353,0.147,295.104,500.637,6.391,-97.304,34.429,3195.725,100348.287,20220110_072457
3,KTLX20220111_132341_V06,-14.492,0.547,259.570,300.941,21.838,-97.500,35.329,10919.195,20220.365,20220111_072341
3,KTLX20220111_133321_V06,-4.826,0.675,257.473,301.437,31.432,-97.511,35.326,15716.047,21275.410,20220111_073321
4,KTLX20220111_141152_V06,33.691,0.165,179.036,412.903,8.238,-97.939,34.822,4118.849,82733.476,20220111_081152
3,KTLX20220112_132046_V06,-17.249,0.613,255.982,309.570,12.204,-97.519,35.290,6102.182,22523.241,20220112_072046
3,KTLX20220112_133023_V06,-7.633,0.657,256.339,309.979,24.427,-97.517,35.288,12213.613,22393.501,20220112_073023
3,KTLX20220112_134000_V06,1.984,0.183,257.396,310.043,31.142,-97.512,35.288,15571.216,21885.634,20220112_074000
