track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KTYX20220102_124553_V06,9.232,0.054,35.838,372.580,58.702,-77.311,43.418,29350.945,136975.726,20220102_074553
1,KTYX20220102_125113_V06,14.566,0.110,37.765,368.360,66.482,-77.300,43.437,33241.045,135499.240,20220102_075113
4,KTYX20220102_134243_V06,66.066,0.306,27.517,481.093,47.302,-77.349,42.929,23650.852,163586.227,20220102_084243
4,KTYX20220102_134845_V06,72.099,0.447,32.979,476.833,51.190,-77.316,42.948,25594.857,160133.117,20220102_084845
3,KTYX20220102_133051_V06,54.199,0.111,33.883,249.558,36.468,-77.338,43.971,18233.782,135427.602,20220102_083051
12,KTYX20220107_134735_V06,71.355,0.052,23.125,354.813,33.233,-77.392,43.496,16616.634,141124.206,20220107_084735
1,KTYX20220109_122156_V06,-13.833,0.211,36.678,137.585,59.083,-77.335,44.475,29541.451,154691.122,20220109_072156
1,KTYX20220109_122800_V06,-7.766,0.056,39.016,140.635,67.092,-77.320,44.461,33545.935,152896.706,20220109_072800
1,KTYX20220113_132333_V06,49.203,0.089,51.030,235.218,74.804,-77.233,44.037,37401.981,128629.895,20220113_082333
1,KTYX20220113_132807_V06,53.770,0.053,49.732,234.475,80.521,-77.241,44.040,40260.310,129351.738,20220113_082807
5,KTYX20220113_134150_V06,67.487,0.128,222.060,376.221,12.648,-76.161,43.412,6323.942,54507.435,20220113_084150
7,KTYX20220113_135059_V06,76.637,0.068,295.309,119.538,16.361,-75.710,44.568,8180.416,90261.593,20220113_085059
1,KTYX20220116_131833_V06,45.690,0.111,179.694,212.254,11.663,-76.432,44.148,5831.676,74453.011,20220116_081833
1,KTYX20220116_132533_V06,52.690,-1.000,179.694,212.254,22.793,-76.432,44.148,11396.676,74453.011,20220116_082533
1,KTYX20220116_133237_V06,59.757,0.087,178.413,213.950,10.017,-76.440,44.141,5008.562,74477.967,20220116_083237
2,KTYX20220118_121234_V06,-19.108,0.212,178.349,213.300,7.248,-76.440,44.143,3624.016,74692.569,20220118_071234
2,KTYX20220118_121928_V06,-12.208,0.473,178.751,213.124,12.753,-76.438,44.144,6376.736,74580.183,20220118_071928
3,KTYX20220118_132141_V06,50.009,0.086,178.213,212.918,7.509,-76.441,44.145,3754.431,74858.765,20220118_082141
3,KTYX20220118_132835_V06,56.909,0.130,179.127,212.808,14.342,-76.435,44.146,7170.879,74519.748,20220118_082835
1,KTYX20220118_120540_V06,-26.008,0.396,180.293,213.905,8.761,-76.428,44.141,4380.518,73726.075,20220118_070540
5,KTYX20220119_122823_V06,-2.642,0.055,45.225,268.152,76.580,-77.265,43.888,38289.955,128379.049,20220119_072823
5,KTYX20220119_123257_V06,1.925,0.093,46.429,267.020,84.266,-77.258,43.893,42132.921,127853.143,20220119_073257
